Location,Gender,Product,location_code,gender_code,product_code
"Lahore, Pakistan",Male,Shoes for Female ,200,1,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Jhang Sadar, Punjab, Pakistan",Female,Shoes for Female ,151,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
"Jeddah, Saudi Arabia",Female,Shoes for Female ,150,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
Chichawatni,Female,Shoes for Female ,67,0,11
"Mandi Burewala, Punjab, Pakistan",Female,Shoes for Female ,218,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
Chiniot,Female,Shoes for Female ,70,0,11
"Lahore, Pakistan",Male,Shoes for Female ,200,1,11
"Islamabad, Pakistan",Male,Shoes for Female ,141,1,11
"Gujranwala, Pakistan",Female,Shoes for Female ,108,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
Mansehra,Male,Shoes for Female ,221,1,11
"Chakwal, Pakistan",Female,Shoes for Female ,59,0,11
"Chakwal, Pakistan",Female,Shoes for Female ,59,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
pindi,Female,Shoes for Female ,386,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Hyderabad, Sindh",Female,Shoes for Female ,135,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Gujranwala, Pakistan",Female,Shoes for Female ,108,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
"Rawalpindi, Pakistan",Female,Shoes for Female ,312,0,11
"Jeddah, Saudi Arabia",Female,Shoes for Female ,150,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Hyderabad, Sindh",Male,Shoes for Female ,135,1,11
"Peshawar, Pakistan",Female,Shoes for Female ,289,0,11
"Sialkot, Punjab",Male,Shoes for Female ,337,1,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Samanabad, Punjab, Pakistan",Male,Shoes for Female ,320,1,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Vantaa, Finland",Female,Shoes for Female ,371,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Jam Shoro, Sindh, Pakistan",Female,Shoes for Female ,146,0,11
"Peshawar, Pakistan",Female,Shoes for Female ,289,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Sahiwal, Punjab, Pakistan",Female,Shoes for Female ,318,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
Multan,Female,Shoes for Female ,248,0,11
"Jeddah, Saudi Arabia",Female,Shoes for Female ,150,0,11
"Sialkot, Punjab",Female,Shoes for Female ,337,0,11
Multan,Female,Shoes for Female ,248,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Gujranwala, Pakistan",Female,Shoes for Female ,108,0,11
Rohri,Female,Shoes for Female ,315,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Arifwala, Pakistan",Male,Shoes for Female ,21,1,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Islamabad, Pakistan",Male,Shoes for Female ,141,1,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Okara, Pakistan",Female,Shoes for Female ,275,0,11
Bahawalpur,Female,Shoes for Female ,32,0,11
"Sialkot, Punjab",Female,Shoes for Female ,337,0,11
"Peshawar, Pakistan",Female,Shoes for Female ,289,0,11
Muzaffargarh,Female,Shoes for Female ,254,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
Mardan,Female,Shoes for Female ,222,0,11
"Hyderabad, Sindh",Female,Shoes for Female ,135,0,11
Gojra,Female,Shoes for Female ,107,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
Multan,Male,Shoes for Female ,248,1,11
Mirpur Khas,Male,Shoes for Female ,235,1,11
Sargodha,Female,Shoes for Female ,323,0,11
"Lahore, Pakistan",Female,Shoes for Female ,200,0,11
Faisalabad,Female,Shoes for Female ,99,0,11
"Islamabad, Pakistan",Female,Shoes for Female ,141,0,11
"Karachi, Pakistan",Female,Shoes for Female ,166,0,11
"Umarkot, Sindh, Pakistan",Male,Casual Wear For Females,367,1,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Hyderabad Lines, Sindh, Pakistan",Male,Casual Wear For Females,134,1,4
Abbottabad,Male,Casual Wear For Females,0,1,4
Faisalabad,Male,Casual Wear For Females,99,1,4
Multan,Male,Casual Wear For Females,248,1,4
Onitsha,Female,Casual Wear For Females,276,0,4
"Lahore, Pakistan",Male,Casual Wear For Females,200,1,4
"New York, New York",Male,Casual Wear For Females,267,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
Kot Addu,Male,Casual Wear For Females,192,1,4
"Khairpur Nathan Shah, Sindh, Pakistan",Male,Casual Wear For Females,178,1,4
Multan,Male,Casual Wear For Females,248,1,4
"Nawan Jandanwala, Punjab, Pakistan",Male,Casual Wear For Females,263,1,4
Chilas,Male,Casual Wear For Females,68,1,4
Pakpattan,Male,Casual Wear For Females,282,1,4
"Sukkur, Sindh",Male,Casual Wear For Females,341,1,4
Sarai Naurang,Male,Casual Wear For Females,322,1,4
"Lahore, Pakistan",Male,Casual Wear For Females,200,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
"Islamabad, Pakistan",Male,Casual Wear For Females,141,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
"Peshawar, Pakistan",Male,Casual Wear For Females,289,1,4
"Peshawar, Pakistan",Male,Casual Wear For Females,289,1,4
"Tharu Shah, Sindh, Pakistan",Male,Casual Wear For Females,357,1,4
Mansehra,Male,Casual Wear For Females,221,1,4
"Bandhi, Sindh, Pakistan",Male,Casual Wear For Females,38,1,4
Faisalabad,Male,Casual Wear For Females,99,1,4
"Lahore, Pakistan",Male,Casual Wear For Females,200,1,4
Bannu,Male,Casual Wear For Females,41,1,4
Shangla,Male,Casual Wear For Females,332,1,4
Mansehra,Male,Casual Wear For Females,221,1,4
"Peshawar, Pakistan",Male,Casual Wear For Females,289,1,4
Nari Shumali,Male,Casual Wear For Females,257,1,4
Chitral,Male,Casual Wear For Females,72,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
Nawabshah,Male,Casual Wear For Females,261,1,4
"Sukkur, Sindh",Male,Casual Wear For Females,341,1,4
Ghotki,Male,Casual Wear For Females,105,1,4
"Peshawar, Pakistan",Male,Casual Wear For Females,289,1,4
"London, United Kingdom",Male,Casual Wear For Females,211,1,4
"Peshawar, Pakistan",Male,Casual Wear For Females,289,1,4
"Dhaka, Bangladesh",Male,Casual Wear For Females,90,1,4
"Tando Mohammad Khan, Sindh, Pakistan",Male,Casual Wear For Females,353,1,4
"Tank, Pakistan",Male,Casual Wear For Females,354,1,4
