Location,Gender,Product
"Lahore, Pakistan",Female,Shoes for Female 
Chiniot,Female,Shoes for Female 
"Lahore, Pakistan",Male,Shoes for Female 
"Islamabad, Pakistan",Male,Shoes for Female 
"Gujranwala, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
Mansehra,Male,Shoes for Female 
"Chakwal, Pakistan",Female,Shoes for Female 
"Chakwal, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
pindi,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Hyderabad, Sindh",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Gujranwala, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Rawalpindi, Pakistan",Female,Shoes for Female 
"Jeddah, Saudi Arabia",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Hyderabad, Sindh",Male,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
"Sialkot, Punjab",Male,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Samanabad, Punjab, Pakistan",Male,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Vantaa, Finland",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Jam Shoro, Sindh, Pakistan",Female,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Sahiwal, Punjab, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
Multan,Female,Shoes for Female 
"Jeddah, Saudi Arabia",Female,Shoes for Female 
"Sialkot, Punjab",Female,Shoes for Female 
Multan,Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Gujranwala, Pakistan",Female,Shoes for Female 
Rohri,Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Arifwala, Pakistan",Male,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Male,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Okara, Pakistan",Female,Shoes for Female 
Bahawalpur,Female,Shoes for Female 
"Sialkot, Punjab",Female,Shoes for Female 
"Peshawar, Pakistan",Female,Shoes for Female 
Muzaffargarh,Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
Mardan,Female,Shoes for Female 
"Hyderabad, Sindh",Female,Shoes for Female 
Gojra,Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
Multan,Male,Shoes for Female 
Mirpur Khas,Male,Shoes for Female 
Sargodha,Female,Shoes for Female 
"Lahore, Pakistan",Female,Shoes for Female 
Faisalabad,Female,Shoes for Female 
"Islamabad, Pakistan",Female,Shoes for Female 
"Karachi, Pakistan",Female,Shoes for Female 
"Umarkot, Sindh, Pakistan",Male,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Hyderabad Lines, Sindh, Pakistan",Male,Casual Wear For Females
Abbottabad,Male,Casual Wear For Females
Faisalabad,Male,Casual Wear For Females
Multan,Male,Casual Wear For Females
Onitsha,Female,Casual Wear For Females
"Lahore, Pakistan",Male,Casual Wear For Females
"New York, New York",Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
Kot Addu,Male,Casual Wear For Females
"Khairpur Nathan Shah, Sindh, Pakistan",Male,Casual Wear For Females
Multan,Male,Casual Wear For Females
"Nawan Jandanwala, Punjab, Pakistan",Male,Casual Wear For Females
Chilas,Male,Casual Wear For Females
Pakpattan,Male,Casual Wear For Females
"Sukkur, Sindh",Male,Casual Wear For Females
Sarai Naurang,Male,Casual Wear For Females
"Lahore, Pakistan",Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
"Islamabad, Pakistan",Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
"Peshawar, Pakistan",Male,Casual Wear For Females
"Peshawar, Pakistan",Male,Casual Wear For Females
"Tharu Shah, Sindh, Pakistan",Male,Casual Wear For Females
Mansehra,Male,Casual Wear For Females
"Bandhi, Sindh, Pakistan",Male,Casual Wear For Females
Faisalabad,Male,Casual Wear For Females
"Lahore, Pakistan",Male,Casual Wear For Females
Bannu,Male,Casual Wear For Females
Shangla,Male,Casual Wear For Females
Mansehra,Male,Casual Wear For Females
"Peshawar, Pakistan",Male,Casual Wear For Females
Nari Shumali,Male,Casual Wear For Females
Chitral,Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
Nawabshah,Male,Casual Wear For Females
"Sukkur, Sindh",Male,Casual Wear For Females
Ghotki,Male,Casual Wear For Females
"Peshawar, Pakistan",Male,Casual Wear For Females
"London, United Kingdom",Male,Casual Wear For Females
"Peshawar, Pakistan",Male,Casual Wear For Females
"Dhaka, Bangladesh",Male,Casual Wear For Females
"Tando Mohammad Khan, Sindh, Pakistan",Male,Casual Wear For Females
"Tank, Pakistan",Male,Casual Wear For Females
"Rawalpindi, Pakistan",Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
Chilas,Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Rawalpindi, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Melbourne, Victoria, Australia",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
Faisalabad,Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Sukkur, Sindh",Female,Casual Wear For Females
Faisalabad,Female,Casual Wear For Females
Murree,Female,Casual Wear For Females
"Rawalpindi, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Rawalpindi, Pakistan",Female,Casual Wear For Females
"New York, New York",Female,Casual Wear For Females
"Sydney, Australia",Female,Casual Wear For Females
